[272.0, 144.0, 989.0, 682.0]
[128.0, 80.0, 846.0, 618.0]
[208.0, 96.0, 927.0, 635.0]
[144.0, 80.0, 864.0, 620.0]
[80.0, 128.0, 801.0, 669.0]
[144.0, 128.0, 866.0, 670.0]
[208.0, 80.0, 931.0, 622.0]
[192.0, 96.0, 916.0, 639.0]
[192.0, 128.0, 917.0, 672.0]
[128.0, 128.0, 854.0, 672.0]
[176.0, 80.0, 903.0, 625.0]
[208.0, 96.0, 936.0, 642.0]
[128.0, 80.0, 857.0, 627.0]
[208.0, 112.0, 938.0, 660.0]
[192.0, 112.0, 923.0, 660.0]
[240.0, 80.0, 972.0, 629.0]
[256.0, 80.0, 989.0, 630.0]
[160.0, 80.0, 894.0, 630.0]
[128.0, 80.0, 863.0, 631.0]
[208.0, 128.0, 944.0, 680.0]
[208.0, 96.0, 945.0, 649.0]
[208.0, 112.0, 946.0, 666.0]
[208.0, 64.0, 947.0, 618.0]
[240.0, 128.0, 980.0, 683.0]
[208.0, 96.0, 949.0, 652.0]
[96.0, 96.0, 838.0, 652.0]
[96.0, 80.0, 839.0, 637.0]
[176.0, 96.0, 920.0, 654.0]
[80.0, 96.0, 825.0, 655.0]
[128.0, 80.0, 874.0, 640.0]
[256.0, 112.0, 1003.0, 672.0]
[192.0, 64.0, 940.0, 625.0]
[208.0, 96.0, 957.0, 658.0]
[224.0, 112.0, 974.0, 674.0]
[160.0, 80.0, 911.0, 643.0]
[80.0, 96.0, 832.0, 660.0]
[240.0, 112.0, 993.0, 677.0]
[160.0, 112.0, 914.0, 678.0]
[128.0, 80.0, 883.0, 646.0]
[144.0, 80.0, 900.0, 647.0]
[240.0, 96.0, 997.0, 664.0]
[112.0, 112.0, 870.0, 680.0]
[224.0, 64.0, 983.0, 633.0]
[80.0, 80.0, 840.0, 650.0]
[224.0, 48.0, 985.0, 619.0]
[208.0, 48.0, 970.0, 620.0]
[208.0, 96.0, 971.0, 668.0]
[128.0, 48.0, 892.0, 621.0]
[240.0, 96.0, 1005.0, 670.0]
[208.0, 48.0, 974.0, 622.0]
[144.0, 80.0, 911.0, 655.0]
[224.0, 96.0, 992.0, 672.0]
[160.0, 80.0, 929.0, 657.0]
[240.0, 64.0, 1010.0, 642.0]
[160.0, 64.0, 931.0, 642.0]
[176.0, 64.0, 948.0, 643.0]
[160.0, 80.0, 933.0, 660.0]
[192.0, 64.0, 966.0, 644.0]
[80.0, 96.0, 855.0, 677.0]
[224.0, 80.0, 1000.0, 662.0]
[192.0, 64.0, 969.0, 647.0]
[80.0, 80.0, 858.0, 664.0]
[240.0, 96.0, 1019.0, 680.0]
[208.0, 64.0, 988.0, 649.0]
[224.0, 96.0, 1005.0, 682.0]
[144.0, 64.0, 926.0, 650.0]
[128.0, 80.0, 911.0, 667.0]
[144.0, 80.0, 928.0, 668.0]
[128.0, 32.0, 913.0, 621.0]
[192.0, 80.0, 978.0, 670.0]
[192.0, 80.0, 979.0, 670.0]
[192.0, 32.0, 980.0, 623.0]
[128.0, 32.0, 917.0, 624.0]
[208.0, 48.0, 998.0, 640.0]
[208.0, 64.0, 999.0, 657.0]
[176.0, 64.0, 968.0, 658.0]
[96.0, 80.0, 889.0, 675.0]
[176.0, 32.0, 970.0, 628.0]
[192.0, 64.0, 987.0, 660.0]
[224.0, 48.0, 1020.0, 645.0]
[224.0, 64.0, 1021.0, 662.0]
[160.0, 48.0, 958.0, 646.0]
[112.0, 80.0, 911.0, 679.0]
[192.0, 32.0, 992.0, 632.0]
