[256.0, 176.0, 973.0, 714.0]
[144.0, 144.0, 862.0, 682.0]
[160.0, 144.0, 879.0, 683.0]
[240.0, 176.0, 960.0, 716.0]
[32.0, 144.0, 753.0, 685.0]
[32.0, 160.0, 754.0, 702.0]
[224.0, 176.0, 947.0, 718.0]
[240.0, 176.0, 964.0, 719.0]
[192.0, 160.0, 917.0, 704.0]
[288.0, 160.0, 1014.0, 704.0]
[240.0, 128.0, 967.0, 673.0]
[192.0, 128.0, 920.0, 674.0]
[144.0, 128.0, 873.0, 675.0]
[48.0, 128.0, 778.0, 676.0]
[80.0, 176.0, 811.0, 724.0]
[64.0, 144.0, 796.0, 693.0]
[192.0, 128.0, 925.0, 678.0]
[112.0, 176.0, 846.0, 726.0]
[224.0, 160.0, 959.0, 711.0]
[160.0, 128.0, 896.0, 680.0]
[16.0, 160.0, 753.0, 713.0]
[240.0, 128.0, 978.0, 682.0]
[224.0, 144.0, 963.0, 698.0]
[96.0, 144.0, 836.0, 699.0]
[224.0, 176.0, 965.0, 732.0]
[48.0, 144.0, 790.0, 700.0]
[80.0, 160.0, 823.0, 717.0]
[224.0, 112.0, 968.0, 670.0]
[160.0, 144.0, 905.0, 703.0]
[112.0, 112.0, 858.0, 672.0]
[192.0, 160.0, 939.0, 720.0]
[112.0, 144.0, 860.0, 705.0]
[208.0, 160.0, 957.0, 722.0]
[224.0, 112.0, 974.0, 674.0]
[16.0, 160.0, 767.0, 723.0]
[192.0, 144.0, 944.0, 708.0]
[112.0, 160.0, 865.0, 725.0]
[160.0, 144.0, 914.0, 710.0]
[0.0, 144.0, 755.0, 710.0]
[224.0, 128.0, 980.0, 695.0]
[16.0, 128.0, 773.0, 696.0]
[240.0, 112.0, 998.0, 680.0]
[176.0, 112.0, 935.0, 681.0]
[160.0, 112.0, 920.0, 682.0]
[192.0, 112.0, 953.0, 683.0]
[144.0, 96.0, 906.0, 668.0]
[32.0, 160.0, 795.0, 732.0]
[80.0, 96.0, 844.0, 669.0]
[160.0, 160.0, 925.0, 734.0]
[160.0, 112.0, 926.0, 686.0]
[240.0, 128.0, 1007.0, 703.0]
[224.0, 112.0, 992.0, 688.0]
[0.0, 128.0, 769.0, 705.0]
[240.0, 112.0, 1010.0, 690.0]
[96.0, 96.0, 867.0, 674.0]
[96.0, 112.0, 868.0, 691.0]
[112.0, 128.0, 885.0, 708.0]
[160.0, 112.0, 934.0, 692.0]
[96.0, 144.0, 871.0, 725.0]
[208.0, 112.0, 984.0, 694.0]
[48.0, 144.0, 825.0, 727.0]
[16.0, 144.0, 794.0, 728.0]
[176.0, 96.0, 955.0, 680.0]
[192.0, 96.0, 972.0, 681.0]
[128.0, 112.0, 909.0, 698.0]
[192.0, 96.0, 974.0, 682.0]
[48.0, 144.0, 831.0, 731.0]
[224.0, 128.0, 1008.0, 716.0]
[192.0, 96.0, 977.0, 685.0]
[80.0, 144.0, 866.0, 734.0]
[80.0, 96.0, 867.0, 686.0]
[64.0, 96.0, 852.0, 687.0]
[96.0, 80.0, 885.0, 672.0]
[80.0, 80.0, 870.0, 672.0]
[64.0, 112.0, 855.0, 705.0]
[208.0, 112.0, 1000.0, 706.0]
[16.0, 96.0, 809.0, 691.0]
[32.0, 96.0, 826.0, 692.0]
[192.0, 80.0, 987.0, 676.0]
[112.0, 80.0, 908.0, 677.0]
[112.0, 80.0, 909.0, 678.0]
[16.0, 96.0, 814.0, 694.0]
[64.0, 128.0, 863.0, 727.0]
[16.0, 128.0, 816.0, 728.0]
[64.0, 128.0, 865.0, 729.0]
[16.0, 96.0, 818.0, 698.0]
[128.0, 128.0, 931.0, 730.0]
[176.0, 112.0, 980.0, 715.0]
[16.0, 80.0, 821.0, 684.0]
[96.0, 128.0, 902.0, 732.0]
[208.0, 96.0, 1015.0, 701.0]
[112.0, 128.0, 920.0, 734.0]
[128.0, 128.0, 937.0, 735.0]
[80.0, 112.0, 890.0, 720.0]
[0.0, 112.0, 811.0, 720.0]
[144.0, 96.0, 956.0, 705.0]
[80.0, 80.0, 893.0, 690.0]
[80.0, 64.0, 894.0, 674.0]
[16.0, 80.0, 831.0, 691.0]
[176.0, 112.0, 992.0, 724.0]
[112.0, 112.0, 929.0, 725.0]
[0.0, 112.0, 818.0, 726.0]
[176.0, 96.0, 995.0, 710.0]
[64.0, 112.0, 884.0, 727.0]
[32.0, 64.0, 853.0, 680.0]
[176.0, 96.0, 998.0, 712.0]
[32.0, 80.0, 855.0, 697.0]
[16.0, 96.0, 840.0, 714.0]
[128.0, 112.0, 953.0, 731.0]
[144.0, 96.0, 970.0, 716.0]
[32.0, 112.0, 859.0, 732.0]
[144.0, 80.0, 972.0, 701.0]
[0.0, 96.0, 829.0, 718.0]
[112.0, 96.0, 942.0, 718.0]
[112.0, 64.0, 943.0, 687.0]
[144.0, 80.0, 976.0, 704.0]
[32.0, 48.0, 865.0, 673.0]
[144.0, 96.0, 978.0, 722.0]
[80.0, 48.0, 915.0, 674.0]
[160.0, 96.0, 996.0, 723.0]
[80.0, 96.0, 917.0, 724.0]
[32.0, 64.0, 870.0, 692.0]
[144.0, 64.0, 983.0, 693.0]
[160.0, 80.0, 1000.0, 710.0]
[112.0, 96.0, 953.0, 727.0]
[0.0, 96.0, 842.0, 728.0]
[32.0, 96.0, 875.0, 728.0]
[32.0, 96.0, 876.0, 729.0]
[96.0, 32.0, 941.0, 666.0]
[64.0, 64.0, 910.0, 698.0]
[112.0, 64.0, 959.0, 699.0]
[160.0, 64.0, 1008.0, 700.0]
[80.0, 96.0, 929.0, 733.0]
[128.0, 96.0, 978.0, 734.0]
[144.0, 48.0, 995.0, 686.0]
[16.0, 64.0, 868.0, 703.0]
[160.0, 80.0, 1013.0, 720.0]
[128.0, 48.0, 982.0, 688.0]
[16.0, 48.0, 871.0, 689.0]
[80.0, 48.0, 936.0, 690.0]
[112.0, 80.0, 969.0, 723.0]
[128.0, 64.0, 986.0, 708.0]
[144.0, 80.0, 1003.0, 724.0]
[32.0, 32.0, 892.0, 677.0]
[112.0, 48.0, 973.0, 694.0]
[48.0, 48.0, 910.0, 694.0]
[48.0, 64.0, 911.0, 711.0]
[64.0, 80.0, 928.0, 728.0]
[80.0, 48.0, 945.0, 697.0]
[80.0, 48.0, 946.0, 698.0]
[16.0, 64.0, 883.0, 714.0]
[144.0, 80.0, 1012.0, 731.0]
[112.0, 32.0, 981.0, 684.0]
[48.0, 80.0, 918.0, 732.0]
[112.0, 48.0, 983.0, 701.0]
[32.0, 64.0, 904.0, 718.0]
[16.0, 64.0, 889.0, 719.0]
[80.0, 32.0, 954.0, 688.0]
[96.0, 64.0, 971.0, 720.0]
[128.0, 48.0, 1004.0, 705.0]
[112.0, 48.0, 989.0, 706.0]
[80.0, 32.0, 958.0, 690.0]
[0.0, 48.0, 879.0, 707.0]
[96.0, 16.0, 976.0, 676.0]
[112.0, 48.0, 993.0, 709.0]
[48.0, 16.0, 930.0, 678.0]
[16.0, 32.0, 899.0, 694.0]
[32.0, 48.0, 916.0, 711.0]
[0.0, 48.0, 885.0, 712.0]
[80.0, 16.0, 966.0, 680.0]
[80.0, 64.0, 967.0, 729.0]
[32.0, 32.0, 920.0, 698.0]
[112.0, 48.0, 1001.0, 715.0]
[32.0, 16.0, 922.0, 684.0]
[96.0, 16.0, 987.0, 684.0]
[0.0, 32.0, 892.0, 701.0]
[16.0, 16.0, 909.0, 686.0]
[112.0, 16.0, 1006.0, 686.0]
[96.0, 64.0, 991.0, 735.0]
[64.0, 16.0, 960.0, 688.0]
[16.0, 16.0, 913.0, 689.0]
[0.0, 48.0, 898.0, 722.0]
[32.0, 32.0, 931.0, 706.0]
[48.0, 0.0, 948.0, 675.0]
[48.0, 48.0, 949.0, 724.0]
[112.0, 32.0, 1014.0, 708.0]
[0.0, 48.0, 903.0, 725.0]
[0.0, 16.0, 904.0, 694.0]
[48.0, 32.0, 953.0, 711.0]
[64.0, 48.0, 970.0, 728.0]
[0.0, 48.0, 907.0, 728.0]
[32.0, 0.0, 940.0, 681.0]
[112.0, 48.0, 1021.0, 730.0]
[96.0, 16.0, 1006.0, 698.0]
[64.0, 0.0, 975.0, 683.0]
[48.0, 0.0, 960.0, 684.0]
[0.0, 48.0, 913.0, 733.0]
[96.0, 0.0, 1010.0, 686.0]
[96.0, 48.0, 1011.0, 734.0]
[80.0, 0.0, 996.0, 687.0]
[48.0, 16.0, 965.0, 704.0]
[64.0, 0.0, 982.0, 688.0]
[80.0, 32.0, 999.0, 721.0]
[32.0, 32.0, 952.0, 722.0]
[32.0, 32.0, 953.0, 723.0]
[96.0, 32.0, 1018.0, 724.0]
[64.0, 32.0, 987.0, 724.0]
[96.0, 32.0, 1020.0, 725.0]
[80.0, 16.0, 1005.0, 710.0]
[48.0, 0.0, 974.0, 694.0]
[32.0, 32.0, 959.0, 727.0]
[48.0, 32.0, 976.0, 728.0]
[48.0, 16.0, 977.0, 713.0]
[32.0, 32.0, 962.0, 730.0]
[80.0, 32.0, 1011.0, 730.0]
[0.0, 0.0, 932.0, 699.0]
[64.0, 0.0, 997.0, 700.0]
[0.0, 0.0, 934.0, 700.0]
[48.0, 16.0, 983.0, 717.0]
[32.0, 32.0, 968.0, 734.0]
[64.0, 16.0, 1001.0, 719.0]
[0.0, 16.0, 938.0, 720.0]
[48.0, 16.0, 987.0, 720.0]
[48.0, 16.0, 988.0, 721.0]
[16.0, 16.0, 957.0, 722.0]
[80.0, 16.0, 1022.0, 722.0]
[32.0, 16.0, 975.0, 723.0]
[64.0, 16.0, 1008.0, 724.0]
[64.0, 16.0, 1009.0, 725.0]
[0.0, 0.0, 946.0, 710.0]
[64.0, 0.0, 1011.0, 710.0]
[32.0, 16.0, 980.0, 727.0]
[32.0, 16.0, 981.0, 728.0]
[48.0, 16.0, 998.0, 728.0]
[32.0, 0.0, 983.0, 713.0]
[32.0, 16.0, 984.0, 730.0]
[64.0, 16.0, 1017.0, 731.0]
[16.0, 0.0, 970.0, 716.0]
[32.0, 0.0, 987.0, 716.0]
[48.0, 0.0, 1004.0, 717.0]
[16.0, 16.0, 973.0, 734.0]
[32.0, 16.0, 990.0, 734.0]
[0.0, 0.0, 959.0, 719.0]
[48.0, 0.0, 1008.0, 720.0]
[32.0, 0.0, 993.0, 721.0]
[48.0, 0.0, 1010.0, 722.0]
[32.0, 0.0, 995.0, 722.0]
[32.0, 0.0, 996.0, 723.0]
[48.0, 0.0, 1013.0, 724.0]
[0.0, 0.0, 966.0, 724.0]
[0.0, 0.0, 967.0, 725.0]
[0.0, 0.0, 968.0, 726.0]
[48.0, 0.0, 1017.0, 727.0]
[32.0, 0.0, 1002.0, 728.0]
[16.0, 0.0, 987.0, 728.0]
[0.0, 0.0, 972.0, 729.0]
[32.0, 0.0, 1005.0, 730.0]
[48.0, 0.0, 1022.0, 730.0]
[0.0, 0.0, 975.0, 731.0]
[0.0, 0.0, 976.0, 732.0]
[16.0, 0.0, 993.0, 733.0]
[32.0, 0.0, 1010.0, 734.0]
[0.0, 0.0, 979.0, 734.0]
[16.0, 0.0, 996.0, 735.0]
