[240.0, 144.0, 957.0, 682.0]
[144.0, 64.0, 862.0, 602.0]
[176.0, 128.0, 895.0, 667.0]
[80.0, 96.0, 800.0, 636.0]
[96.0, 128.0, 817.0, 669.0]
[160.0, 112.0, 882.0, 654.0]
[144.0, 128.0, 867.0, 670.0]
[144.0, 80.0, 868.0, 623.0]
[128.0, 64.0, 853.0, 608.0]
[176.0, 80.0, 902.0, 624.0]
[64.0, 96.0, 791.0, 641.0]
[128.0, 128.0, 856.0, 674.0]
[128.0, 96.0, 857.0, 643.0]
[224.0, 96.0, 954.0, 644.0]
[224.0, 128.0, 955.0, 676.0]
[192.0, 112.0, 924.0, 661.0]
[192.0, 112.0, 925.0, 662.0]
[160.0, 128.0, 894.0, 678.0]
[144.0, 80.0, 879.0, 631.0]
[80.0, 96.0, 816.0, 648.0]
[224.0, 112.0, 961.0, 665.0]
[192.0, 80.0, 930.0, 634.0]
[112.0, 112.0, 851.0, 666.0]
[64.0, 128.0, 804.0, 683.0]
[112.0, 48.0, 853.0, 604.0]
[96.0, 64.0, 838.0, 620.0]
[176.0, 96.0, 919.0, 653.0]
[176.0, 112.0, 920.0, 670.0]
[208.0, 112.0, 953.0, 671.0]
[112.0, 80.0, 858.0, 640.0]
[64.0, 96.0, 811.0, 656.0]
[144.0, 80.0, 892.0, 641.0]
[224.0, 96.0, 973.0, 658.0]
[112.0, 48.0, 862.0, 610.0]
[144.0, 64.0, 895.0, 627.0]
[80.0, 64.0, 832.0, 628.0]
[144.0, 96.0, 897.0, 661.0]
[80.0, 96.0, 834.0, 662.0]
[112.0, 64.0, 867.0, 630.0]
[112.0, 96.0, 868.0, 663.0]
[64.0, 80.0, 821.0, 648.0]
[80.0, 64.0, 838.0, 632.0]
[176.0, 48.0, 935.0, 617.0]
[128.0, 48.0, 888.0, 618.0]
[112.0, 64.0, 873.0, 635.0]
[112.0, 32.0, 874.0, 604.0]
[176.0, 112.0, 939.0, 684.0]
[192.0, 80.0, 956.0, 653.0]
[208.0, 80.0, 973.0, 654.0]
[64.0, 80.0, 830.0, 654.0]
[112.0, 32.0, 879.0, 607.0]
[96.0, 48.0, 864.0, 624.0]
[80.0, 48.0, 849.0, 625.0]
[176.0, 96.0, 946.0, 674.0]
[160.0, 48.0, 931.0, 626.0]
[128.0, 48.0, 900.0, 627.0]
[144.0, 64.0, 917.0, 644.0]
[80.0, 80.0, 854.0, 660.0]
[192.0, 80.0, 967.0, 661.0]
[144.0, 48.0, 920.0, 630.0]
[192.0, 64.0, 969.0, 647.0]
[96.0, 48.0, 874.0, 632.0]
[128.0, 48.0, 907.0, 632.0]
[96.0, 48.0, 876.0, 633.0]
[48.0, 64.0, 829.0, 650.0]
[144.0, 80.0, 926.0, 666.0]
[192.0, 64.0, 975.0, 651.0]
[144.0, 32.0, 928.0, 620.0]
[112.0, 32.0, 897.0, 621.0]
[96.0, 48.0, 882.0, 638.0]
[64.0, 64.0, 851.0, 654.0]
[112.0, 64.0, 900.0, 655.0]
[80.0, 64.0, 869.0, 656.0]
[128.0, 80.0, 918.0, 672.0]
[96.0, 80.0, 887.0, 673.0]
[80.0, 64.0, 872.0, 658.0]
[32.0, 64.0, 825.0, 659.0]
[32.0, 64.0, 826.0, 660.0]
[112.0, 16.0, 907.0, 612.0]
[64.0, 80.0, 860.0, 677.0]
[96.0, 80.0, 893.0, 678.0]
[48.0, 64.0, 846.0, 662.0]
[128.0, 64.0, 927.0, 663.0]
[112.0, 48.0, 912.0, 648.0]
[112.0, 16.0, 913.0, 617.0]
[128.0, 80.0, 930.0, 682.0]
[64.0, 64.0, 867.0, 666.0]
[80.0, 32.0, 884.0, 635.0]
[80.0, 80.0, 885.0, 684.0]
[64.0, 80.0, 870.0, 684.0]
[176.0, 64.0, 983.0, 669.0]
[144.0, 48.0, 952.0, 654.0]
[160.0, 64.0, 969.0, 671.0]
[96.0, 32.0, 906.0, 640.0]
[112.0, 64.0, 923.0, 672.0]
[32.0, 64.0, 844.0, 673.0]
[48.0, 64.0, 861.0, 674.0]
[128.0, 32.0, 942.0, 642.0]
[176.0, 48.0, 991.0, 659.0]
[112.0, 48.0, 928.0, 660.0]
[48.0, 32.0, 865.0, 645.0]
[128.0, 64.0, 946.0, 678.0]
[144.0, 32.0, 963.0, 646.0]
[112.0, 48.0, 932.0, 663.0]
[160.0, 64.0, 981.0, 680.0]
[96.0, 32.0, 918.0, 648.0]
[112.0, 64.0, 935.0, 681.0]
[48.0, 32.0, 872.0, 650.0]
[96.0, 64.0, 921.0, 683.0]
[112.0, 64.0, 938.0, 684.0]
[128.0, 16.0, 955.0, 636.0]
[96.0, 32.0, 924.0, 653.0]
[112.0, 32.0, 941.0, 654.0]
[112.0, 32.0, 942.0, 654.0]
[32.0, 48.0, 863.0, 671.0]
[48.0, 48.0, 880.0, 672.0]
[48.0, 48.0, 881.0, 673.0]
[80.0, 48.0, 914.0, 674.0]
[112.0, 16.0, 947.0, 642.0]
[144.0, 32.0, 980.0, 659.0]
[80.0, 48.0, 917.0, 676.0]
[80.0, 16.0, 918.0, 644.0]
[48.0, 16.0, 887.0, 645.0]
[96.0, 48.0, 936.0, 678.0]
[64.0, 16.0, 905.0, 647.0]
[128.0, 48.0, 970.0, 680.0]
[64.0, 16.0, 907.0, 648.0]
[32.0, 48.0, 876.0, 681.0]
[32.0, 32.0, 877.0, 666.0]
[32.0, 32.0, 878.0, 666.0]
[128.0, 48.0, 975.0, 683.0]
[64.0, 16.0, 912.0, 652.0]
[96.0, 32.0, 945.0, 669.0]
[48.0, 32.0, 898.0, 670.0]
[64.0, 32.0, 915.0, 670.0]
[112.0, 16.0, 964.0, 655.0]
[48.0, 32.0, 901.0, 672.0]
[80.0, 32.0, 934.0, 672.0]
[64.0, 32.0, 919.0, 673.0]
[80.0, 32.0, 936.0, 674.0]
[64.0, 16.0, 921.0, 659.0]
[64.0, 16.0, 922.0, 660.0]
[64.0, 32.0, 923.0, 676.0]
[64.0, 32.0, 924.0, 677.0]
[48.0, 32.0, 909.0, 678.0]
[64.0, 32.0, 926.0, 678.0]
[112.0, 32.0, 975.0, 679.0]
[48.0, 16.0, 912.0, 664.0]
[96.0, 16.0, 961.0, 665.0]
